group,Latvijas kanāli
ltv1-lat,LTV1 (576p),http://dvb.gpsystems.lv:4242/bynumber/1?by_HasBahCa
tv3-lt,TV3 Latvia (576p),http://wpc.11eb4.teliasoneracdn.net/8011EB4/origin1/tvplay/mtgstream2_medium.stream/chunklist.m3u8
tv6-lat,TV6 Latvia (576p),http://wpc.11eb4.teliasoneracdn.net/8011EB4/origin1/tvplay/mtgstream4_medium.stream/playlist.m3u8
ltv7-lat,LTV7 Latvia (360p),http://dvb.gpsystems.lv:4242/bynumber/3?by_HasBahCa
lnt-lat,LNT (576p),http://wpc.11eb4.teliasoneracdn.net/8011EB4/origin1/tvplay/mtgstream1_high.stream/chunklist.m3u8
ext,Chaula TV (480p),http://video.chaula.tv/hls/live/medium/playlist_medium.m3u8
ext,SWH Video Tiesraide (360p),http://stream.ls.lv/swh_swh/smil:swh_swh.smil/chunklist_w1007479244_b2000000_t64SGlnaCBxdWFsaXR5.m3u8
ext,LMT Straume (576p),http://wpc.11eb4.teliasoneracdn.net/8011EB4/origin1/tvplay/smil:mtgstream4.smil/playlist.m3u8
group,Mūzikas kanāli
1tv-lat,Pirmais Baltijas mūzikas kanāls (576p),https://streamer1.tvdom.tv/down.php?watch=/stream/PBMK.stream_720p/index.m3u8?DOMTOKEN=J/m1gLnoBzIYktcBOSI7NTnJJaUZfAl6ss7irqGEm60KNeceHD+vhJnO5WV0DUrHBgYPWwaJZBln69UrOGmhOFOSiucsBBb+9l6Cny94ifXqdIbInUxkHLrYeeXkB0l6fBpOBu/zoWvVyjHFJ17M9rWdAMvgTjBpteMKFMU02C7xe3jwT09Dx1TWMDM3R8h6b5e8yz19XOHltf9orTSivHI4UOt5d6EyQXOybN7SjOGmiLQeG2nSG81TicPzuMAK
mtvlive-hd,MTV Live HD (1080p),http://62.106.105.209:4022/udp/232.0.2.51:1234
mtv-dance,MTV Dance (576p),http://151.80.115.8:8080/live/y9wBLcRW6q/CdlIe5ToDI/2.m3u8
mtv-hits,MTV Hits (576p),http://fr.cdn.edem.tv/iptv/MVR43UD8XWESKE/153/index.m3u8
mtv-rocks,MTV Rock (576p),http://cp.dmbshare.net:8000/live/khe/khe/6839.ts
ext,Muz TV (576p),http://fr.cdn.edem.tv/iptv/MVR43UD8XWESKE/116/index.m3u8
vevo,Vevo 1 (720p),http://51.255.70.112:8000/live/wayne/wayne/786.ts
vevo,Vevo 2 (720p),http://51.255.70.112:8000/live/wayne/wayne/787.ts
vevo,Vevo 3 (720p),http://51.255.70.112:8000/live/wayne/wayne/788.ts
SLAM!TV.nl,SLAM! (720p),http://hls2.slamfm.nl/content/slamtv/slamtv_0.m3u8
Jugoton.hr,JUGOTON TV (432p),http://95.128.236.80:1935/kaltura/smil:jugotontv.smil/chunklist_b1556000.m3u8
ext,Heart TV (450p),http://ooyalahd2-f.akamaihd.net/i/globalradio02_delivery@156522/index_656_av-p.m3u8?sd=10&rebase=on
KissTV.uk,Kiss Tv (380p),rtmp://tst.es.flash.glb.ipercast.net:1935/tst.es-live/live
NRJHits.fr,NRJ TV (1080p),rtmp://rtmp.infomaniak.ch:1935/livecast/energytv
NRJHits.fr,NRJ Hits Belgique (360p),rtsp://5.196.138.6:1935/live/nrjbelgique_360p
ext,M20 (360p),http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-b.m3u8
MusicChannel.hu,Music Channel Hungary (720p),http://stream.1music.hu/stream/1music.m3u8
